r_kpc,rho_star_Msun_per_kpc3
1292.5516037476261,1.849475888486619
1319.7011955467353,1.7100368493990035
1347.421054972083,1.5809951620107352
1375.723160294573,1.4615851908248783
1404.6197413844766,1.3510969021988513
1434.1232849961918,1.2488718865386383
1464.2465401639959,1.154299660640567
1495.002523711152,1.0668142307599562
1526.4045258747135,0.9858908983119897
1558.4661160484877,0.9110432913464931
1591.2011486466315,0.8418206060917126
1624.6237690903927,0.7778050439377288
1658.7484199206172,0.7186094302329504
1693.589847038646,0.6638750022024609
1729.1631060782847,0.6132693541689092
1765.4835689116385,0.5664845290695149
1802.5669302915733,0.5232352460207542
1840.4292146337193,0.483257254388632
1879.0867829409256,0.44630580548105375
1918.5563398731442,0.4121542335925536
1958.854940965841,0.38059263870359794
2000.0,0.35142666366983455
