Galaxy,Galaxy_Type,Radius_kpc,Boundary_kpc,In_Outer_Region,Observed_Speed_km_s,Baryonic_Speed_km_s,GR_Speed_km_s,GR_Percent_Off,G_Predicted,Predicted_Speed_km_s,Model_Percent_Off,Baryonic_Mass_Msun
UGC02455,,2.01,2.015,False,33.0,77.82892071717299,77.82892071717299,135.8452142944636,,,,
UGC02455,,2.52,2.015,True,39.1,77.56462209022874,77.56462209022874,98.37499255812976,,,,
UGC02455,,3.02,2.015,True,43.8,77.24835079145703,77.24835079145703,76.36609769739049,,,,
UGC02455,,3.52,2.015,True,53.1,74.64032690174929,74.64032690174929,40.56558738559188,,,,
UGC02455,,4.03,2.015,True,61.0,71.71624711318907,71.71624711318907,17.567618218342737,,,,
UGC02487,,9.93,40.19,False,377.0,329.74174136739197,329.74174136739197,12.53534711740266,,,,
UGC02487,,10.05,40.19,False,377.0,330.33594112660523,330.33594112660523,12.377734449176332,,,,
UGC02487,,10.35,40.19,False,378.0,331.98826605770273,331.98826605770273,12.172416386851129,,,,
UGC02487,,15.07,40.19,False,367.0,322.5810896503389,322.5810896503389,12.103245326883126,,,,
UGC02487,,20.09,40.19,False,364.0,309.82655567268597,309.82655567268597,14.882814375635721,,,,
UGC02487,,25.12,40.19,False,375.0,296.174322992389,296.174322992389,21.020180535362925,,,,
UGC02487,,30.14,40.19,False,383.0,283.84565119092457,283.84565119092457,25.88886391881865,,,,
UGC02487,,35.17,40.19,False,378.0,264.0318734547024,264.0318734547024,30.150298027856508,,,,
UGC02487,,40.19,40.19,True,364.0,246.4421209939567,246.4421209939567,32.29612060605585,,,,
UGC02487,,45.21,40.19,True,349.0,232.41340451875834,232.41340451875834,33.4059012840234,,,,
UGC02487,,50.24,40.19,True,338.0,219.60726285803938,219.60726285803938,35.027437024248705,,,,
UGC02487,,55.26,40.19,True,332.0,208.7867768801463,208.7867768801463,37.11241660236557,,,,
UGC02487,,60.28,40.19,True,330.0,200.49830049155028,200.49830049155028,39.24293924498476,,,,
UGC02487,,65.31,40.19,True,329.0,191.80659373441782,191.80659373441782,41.700123484979386,,,,
UGC02487,,70.33,40.19,True,330.0,184.4081218384917,184.4081218384917,44.11875095803282,,,,
UGC02487,,75.35,40.19,True,332.0,177.4456051864909,177.4456051864909,46.55252855828587,,,,
UGC02487,,80.38,40.19,True,333.0,171.0187501416146,171.0187501416146,48.64301797549112,,,,
UGC02885,,1.7,37.035,False,305.0,281.41080594035475,281.41080594035475,7.734161986768935,,,,
UGC02885,,3.41,37.035,False,257.0,281.4783011175106,281.4783011175106,9.524630785023591,,,,
UGC02885,,6.82,37.035,False,256.0,282.1156828324154,282.1156828324154,10.201438606412271,,,,
UGC02885,,13.67,37.035,False,271.0,274.45804779601565,274.45804779601565,1.2760323970537448,,,,
UGC02885,,19.49,37.035,False,282.0,261.95053597960055,261.95053597960055,7.109739014326048,,,,
UGC02885,,23.36,37.035,False,287.0,258.5757819286253,258.5757819286253,9.903908735670626,,,,
UGC02885,,27.24,37.035,False,283.0,252.17976485039398,252.17976485039398,10.890542455691174,,,,
UGC02885,,31.22,37.035,False,280.0,242.48304414948277,242.48304414948277,13.398912803756154,,,,
UGC02885,,35.1,37.035,False,280.0,233.71294358678554,233.71294358678554,16.53109157614802,,,,
UGC02885,,38.97,37.035,True,281.0,227.55473187784955,227.55473187784955,19.019668370872047,,,,
UGC02885,,42.85,37.035,True,282.0,221.10342692957067,221.10342692957067,21.594529457599055,,,,
UGC02885,,46.73,37.035,True,287.0,210.88064823496725,210.88064823496725,26.522422217781443,,,,
UGC02885,,50.71,37.035,True,292.0,207.7432923104859,207.7432923104859,28.855036879970573,,,,
UGC02885,,54.58,37.035,True,298.0,206.55281237494685,206.55281237494685,30.68697571310508,,,,
UGC02885,,58.46,37.035,True,298.0,202.7309157479441,202.7309157479441,31.969491359750304,,,,
UGC02885,,62.34,37.035,True,298.0,196.36123395415908,196.36123395415908,34.1069684717587,,,,
UGC02885,,66.21,37.035,True,298.0,191.1225452425747,191.1225452425747,35.864917703833996,,,,
UGC02885,,70.19,37.035,True,298.0,188.09463283145533,188.09463283145533,36.880995694142506,,,,
UGC02885,,74.07,37.035,True,298.0,183.50488113399055,183.50488113399055,38.42118082751995,,,,
UGC02916,,0.37,19.0,False,183.0,124.09644676621487,124.09644676621487,32.18773400753286,,,,
UGC02916,,0.74,19.0,False,196.0,192.58378955664983,192.58378955664983,1.7429645119133503,,,,
UGC02916,,1.11,19.0,False,205.0,220.92324323167085,220.92324323167085,7.76743572276627,,,,
UGC02916,,1.48,19.0,False,211.0,243.04848508065217,243.04848508065217,15.188855488460744,,,,
UGC02916,,1.84,19.0,False,214.0,262.66355000266026,262.66355000266026,22.73997663675713,,,,
UGC02916,,2.21,19.0,False,214.0,278.5318812990714,278.5318812990714,30.15508471919225,,,,
UGC02916,,2.6,19.0,False,213.0,286.2232836440809,286.2232836440809,34.37712847139947,,,,
UGC02916,,2.96,19.0,False,211.0,282.6390102232882,282.6390102232882,33.95213754658209,,,,
UGC02916,,3.17,19.0,False,210.0,282.9787704051313,282.9787704051313,34.7517954310149,,,,
UGC02916,,3.33,19.0,False,209.0,281.81547597674614,281.81547597674614,34.839940658730214,,,,
UGC02916,,3.7,19.0,False,207.0,278.5925370500796,278.5925370500796,34.585766690859714,,,,
UGC02916,,4.07,19.0,False,206.0,274.32471871852886,274.32471871852886,33.16733918375187,,,,
UGC02916,,4.44,19.0,False,205.0,269.0980980980728,269.0980980980728,31.26736492588917,,,,
UGC02916,,4.81,19.0,False,205.0,263.41866505621806,263.41866505621806,28.496909783521005,,,,
UGC02916,,5.18,19.0,False,206.0,257.67736998036906,257.67736998036906,25.086101932217993,,,,
UGC02916,,5.55,19.0,False,207.0,251.31205641592288,251.31205641592288,21.40679053909318,,,,
UGC02916,,5.92,19.0,False,208.0,245.4593273843958,245.4593273843958,18.009292011728753,,,,
UGC02916,,6.28,19.0,False,210.0,240.53304575463224,240.53304575463224,14.539545597443924,,,,
UGC02916,,6.34,19.0,False,210.0,239.81681967701934,239.81681967701934,14.1984855604854,,,,
UGC02916,,6.65,19.0,False,212.0,236.3231258256373,236.3231258256373,11.473172559262881,,,,
UGC02916,,7.03,19.0,False,214.0,232.46577662098994,232.46577662098994,8.628867579901842,,,,
UGC02916,,7.39,19.0,False,215.0,229.1072698541013,229.1072698541013,6.5615208623727,,,,
UGC02916,,7.77,19.0,False,216.0,225.66625268302747,225.66625268302747,4.475116982883086,,,,
UGC02916,,8.14,19.0,False,217.0,222.9011628502642,222.9011628502642,2.7194298849143776,,,,
UGC02916,,8.51,19.0,False,218.0,220.13133375328465,220.13133375328465,0.9776760336168121,,,,
UGC02916,,8.88,19.0,False,218.0,217.43712884417877,217.43712884417877,0.2581977778996456,,,,
UGC02916,,9.25,19.0,False,218.0,215.25732275581242,215.25732275581242,1.2581088276089796,,,,
UGC02916,,9.52,19.0,False,218.0,213.55980918702846,213.55980918702846,2.036784776592448,,,,
UGC02916,,9.62,19.0,False,218.0,212.94787531224628,212.94787531224628,2.317488388877852,,,,
UGC02916,,9.99,19.0,False,217.0,210.78322015758275,210.78322015758275,2.864875503418089,,,,
UGC02916,,10.4,19.0,False,217.0,208.46221576103426,208.46221576103426,3.9344627829335215,,,,
