R_kpc,Sigma_bar,Sigma_eff,kappa_bar,kappa_eff,kappa_bar_mean,kappa_eff_mean,gamma_bar,gamma_eff,alpha_bar_arcsec,alpha_eff_arcsec
328.2304851157954,70909382.53823555,71752962.73695347,0.026647738362040804,0.02696475571035451,0.03654601793193311,0.03685625586498582,0.009898279569892303,0.009891500154631305,2.7182083510760355,2.7412831315354294
332.36357852275194,59312538.22789708,60117536.98526668,0.022289645512472034,0.022592163959259892,0.03624717444151072,0.0365573996359767,0.013957528929038683,0.013965235676716807,2.729928980811608,2.753293360573599
336.548716032512,57104363.42867182,57903464.68647062,0.021459813659463336,0.02176011582654423,0.03589187696635481,0.03620188411826516,0.014432063306891476,0.01444176829172093,2.737208457268012,2.760850413881706
340.7865529868185,55381630.47898819,56176408.44613916,0.02081241080151175,0.021111088276430295,0.03552711935674837,0.03583686643378457,0.01471470855523662,0.014725778157354277,2.743507865016448,2.7674274384972426
345.0777529795077,57758059.185734406,58563889.16166594,0.021705472454943427,0.02200830327357782,0.03517453219133225,0.0354840573177609,0.013469059736388823,0.01347575404418308,2.7504835785839465,2.774686992939829
349.42298796042,55250580.55116848,56049052.609094836,0.020763162252675195,0.021063227966511423,0.03482990913568978,0.03513923441841479,0.014066746883014583,0.014076006451903364,2.757830557420767,2.7823229186715093
353.82293834061977,53475189.409799784,54268884.96848324,0.020095970451929117,0.020394241157861523,0.03447393470303182,0.03478300880195167,0.014377964251102701,0.014388767644090146,2.7640163283592187,2.7887969593909374
358.2782930989375,56684313.110976994,57492993.98323514,0.0213019587950695,0.021605860980238045,0.034133561989529354,0.034442439098832524,0.012831603194459855,0.01283657811859448,2.771187252005029,2.796263928971812
362.7897498898583,53480262.850461155,54278393.803953454,0.020097877050386192,0.02039781457721264,0.033801439236558005,0.034110144081920396,0.013703562186171813,0.013712329504707757,2.7787787275395606,2.804157009552287
367.358015152764,51623396.238521025,52416140.53127305,0.019400066776527034,0.01969797999682431,0.033454060622322875,0.03376252359904215,0.01405399384579584,0.01406454360221784,2.784852029159932,2.8105297415409574
371.98380422255406,58832182.98109026,59657625.654142536,0.02210912806217779,0.02241932933028924,0.033140386651573185,0.033448741685107794,0.011031258589395396,0.011029412354818555,2.793478720469073,2.81947066901164
376.66784144165774,51820663.75059288,52618904.793976575,0.0194741998864323,0.019774178785028143,0.0328349684814961,0.03314324202722447,0.013360768595063799,0.013369063242196326,2.80258576513545,2.8288980502077825
381.4108602734578,49830604.89563589,50622570.321646914,0.01872633598191499,0.01902395650417443,0.03249544000839829,0.03280347921384922,0.013769104026483299,0.01377952270967479,2.808531128248959,2.83515448515708
386.2136034171414,48261969.78875777,49049292.069454856,0.01813684307678272,0.018432718705530555,0.032147788420072855,0.03245554841592516,0.014010945343290136,0.014022829710394608,2.8134709340959576,2.840405098017085
391.0768229239986,50334867.34672376,51134030.26068968,0.01891583775701711,0.019216163094479006,0.03181117718528245,0.032118698778005564,0.012895339428265342,0.012902535683526558,2.8190682076579994,2.8463204008152885
396.00128031518346,48103565.840994686,48894985.42396633,0.018077314890181616,0.01837473028468533,0.03148202500213808,0.03178933254375657,0.013404710111956462,0.013414602259071241,2.825029676244713,2.852605822466155
400.98774670096003,46493732.93054082,47280036.66470742,0.0174723398548787,0.017767832713949484,0.031143187346954156,0.031450226483926265,0.013670847492075457,0.013682393769976781,2.8298142217654183,2.857713219602813
406.037002901448,49223411.51682423,50025410.866872035,0.018498152775200255,0.018799544045037878,0.030818051362406545,0.03112487846782939,0.01231989858720629,0.012325334422791514,2.8355320003814275,2.863762794917392
411.14983956889057,46453708.0975531,47244910.975881785,0.017457298526929378,0.01775463248385148,0.03050060585040158,0.03080724814766701,0.013043307323472201,0.01305261566381553,2.8416615829679683,2.8702306428786493
416.3270573114592,44778774.72277464,45564230.42273808,0.016827858744106854,0.017123032912014936,0.030170396495899587,0.030476781867690858,0.013342537751792734,0.013353748955675922,2.846291784720467,2.8751963490607646
421.5694668186218,49959730.21552059,50774345.92666921,0.01877486126329573,0.019080993760283573,0.029864830520274735,0.03017107506470159,0.011089969256979006,0.011090081304418017,2.8529421658789786,2.8821972448010773
426.8778889880846,44902762.16645221,45694247.76807436,0.016874453212159322,0.017171893416464825,0.02956709533548853,0.029873229017877152,0.012692642123329208,0.012701335601412327,2.8600662071670904,2.8896789435532857
432.25315505433605,43120576.632003754,43905405.79839033,0.016204708079221686,0.016499646795878696,0.02924505190332026,0.029550939608160878,0.013040343824098573,0.013051292812282182,2.8645363204215144,2.8944978483881254
437.69610671880736,41702452.827043965,42482325.842702776,0.01567177730522752,0.01596485350097194,0.02891611592923713,0.029221709854563998,0.01324433862400961,0.01325685635359206,2.867981896655498,2.8982915636837436
443.20759628167303,43499652.05527244,44292278.175710745,0.01634716458267942,0.016645033393833854,0.02859716395208905,0.028902508084126873,0.012249999369409629,0.012257474690293018,2.8720627569151835,2.9027289974954624
