galaxy,median_G_Required_Outer,mean_G_Required_Outer,median_G_Ratio_Outer,mean_G_Ratio_Outer,type,M_bary_Msun,g_req_per_1e10Msun,log10_mass,log10_median_G_required
NGC4100,1.800842735884357,1.794497947487626,0.6863298823749494,0.6839117823447523,Sbc,1000000000.0,18.00842735884357,9.0,0.255475788377698
NGC4138,1.862233030707832,1.862233030707832,0.6887003445018953,0.6887003445018953,S0,1500000000.0,12.414886871385548,9.176091259055681,0.2700340255272671
NGC4157,1.7398053122992316,1.7428982337181333,inf,inf,Sb,0.0,inf,-inf,0.24050065257873807
NGC4183,2.921098568681016,2.9917349721538327,1.1132772435367269,1.1401979032483482,Scd,1000000000.0,29.210985686810158,9.0,0.4655462119245933
NGC4214,5.573935060734161,5.519970466984368,1.8852797304973492,1.8670272116480164,Im,5000000000.0,11.147870121468323,9.698970004336019,0.7461619046483474
NGC4217,1.222806433943521,1.23078157435165,0.46603103050175576,0.4690704836806292,Sb,1000000000.0,12.228064339435209,9.0,0.08735771515285473
NGC4389,0.4931525014741629,0.4931525014741629,0.17852979158483762,0.17852979158483762,Sbc,2000000000.0,2.4657625073708145,9.301029995663981,-0.30701875961292135
NGC4559,2.018161035772745,1.999807518454703,0.8097306884225185,0.8023668527575304,Scd,500000000.0,40.363220715454894,8.698970004336019,0.3049558170828378
NGC5005,0.8584405199710798,0.8650467483737406,inf,inf,Sbc,0.0,inf,-inf,-0.06628979106013796
NGC5033,2.6549760003177942,2.678758565794262,inf,inf,Sc,0.0,inf,-inf,0.4240605996259028
NGC5055,2.0802931998620027,2.071757602744401,inf,inf,Sbc,0.0,inf,-inf,0.31812454943792284
NGC5371,1.0762797590360231,1.089185224321918,inf,inf,Sbc,0.0,inf,-inf,0.03192517283007698
NGC5585,3.3609450941724583,3.3854644800090825,1.280909768069928,1.290254496991464,Sd,1000000000.0,33.60945094172458,9.0,0.5264614177081868
NGC5907,2.211211475279571,2.189329307432476,inf,inf,Sc,0.0,inf,-inf,0.3446302795099801
NGC5985,2.206085182660936,2.1829652858200075,inf,inf,Sb,0.0,inf,-inf,0.34362227766236086
NGC6015,3.179731921833983,3.2425196303872834,1.2118465385176926,1.2357759354424147,Scd,1000000000.0,31.797319218339826,9.0,0.5023905068473634
NGC6195,1.0723422766401824,1.096303001986845,inf,inf,Sb,0.0,inf,-inf,0.030333428202156433
NGC6503,4.030501213313857,3.9834050544505617,1.5360882816274015,1.5181391845025582,Scd,1000000000.0,40.30501213313857,9.0,0.6053590562258386
NGC6674,3.5329790022360306,3.57983337214784,inf,inf,Sb,0.0,inf,-inf,0.5481410562743236
NGC6789,6.104953061864493,6.104953061864493,2.1202420272633886,2.1202420272633886,BCD,3500000000.0,17.442723033898552,9.544068044350276,0.785682329206109
NGC6946,1.3942347169545022,1.3589172319598708,0.5313650827042029,0.5179050260101125,Scd,1000000000.0,13.942347169545021,9.0,0.1443358926266044
NGC7331,1.519413134184744,1.5103973777264912,inf,inf,Sb,0.0,inf,-inf,0.18167587623392675
NGC7793,1.569899680689987,1.574862777804336,0.5351550998455997,0.5368469447223408,Sd,4500000000.0,3.48866595708886,9.653212513775344,0.19587190112593653
NGC7814,2.378538697223907,2.3750432834612187,0.9543221490277494,0.952919711986198,Sab,500000000.0,47.570773944478134,8.698970004336019,0.37631022149234933
PGC51017,0.7832336746505759,0.7832336746505759,0.28965939958239634,0.28965939958239634,BCD,1500000000.0,5.22155783100384,9.176091259055681,-0.10610864857911378
UGC00128,4.8028622590472585,5.364496060905442,1.6244787150713371,1.8144408892029344,Sdm,5000000000.0,9.605724518094517,9.698970004336019,0.6815001317163121
UGC00191,3.2592323296566565,3.2592323296566565,1.1605313465273428,1.1605313465273428,Sm,2500000000.0,13.036929318626626,9.397940008672037,0.5131153196218015
UGC00634,4.386369837088706,4.444724272147989,1.508367067619652,1.5284337540510433,Sm,4000000000.0,10.965924592721764,9.602059991327963,0.6421052464558156
UGC00731,3.902480740587652,3.992713177498918,1.4432349690592476,1.476605180714453,Im,1500000000.0,26.016538270584345,9.176091259055681,0.5913407684219254
UGC00891,4.482958729405065,4.4930275401739594,1.596269797437556,1.5998550498337194,Sm,2500000000.0,17.93183491762026,9.397940008672037,0.6515647407229973
UGC01230,3.453225517857386,3.5283495376147824,1.1679892217465573,1.1933985223894403,Sm,5000000000.0,6.906451035714772,9.698970004336019,0.5382249415011686
UGC01281,4.313095055624667,4.3564854934933726,1.7305087982166305,1.7479179982277326,Sdm,500000000.0,86.26190111249333,8.698970004336019,0.6347890295993155
UGC02023,1.7353121031889809,1.7353121031889809,0.5869370020608033,0.5869370020608033,Im,5000000000.0,3.4706242063779618,9.698970004336019,0.23937759584325338
UGC02259,4.203291841899063,4.203291841899063,1.5544824368503325,1.5544824368503325,Sdm,1500000000.0,28.021945612660417,9.176091259055681,0.6235895448772368
UGC02455,0.6147916450224991,0.6147916450224991,0.21891197173626556,0.21891197173626556,Im,2500000000.0,2.4591665800899962,9.397940008672037,-0.21127204316526685
UGC02487,3.3514841229065944,3.359132491620329,inf,inf,S0,0.0,inf,-inf,0.525237166337417
UGC02885,2.470583751101445,2.4703690084769114,inf,inf,Sc,0.0,inf,-inf,0.3927995807612381
UGC02916,1.509878353143353,1.5175943856219603,inf,inf,Sab,0.0,inf,-inf,0.17894195875890861
UGC02953,3.2178163638286894,3.244034594642475,inf,inf,Sab,0.0,inf,-inf,0.5075612559061102
UGC03205,3.165529320028739,3.165529320028739,inf,inf,Sab,0.0,inf,-inf,0.5004463404345614
UGC03546,2.103214467628312,2.103214467628312,inf,inf,Sa,0.0,inf,-inf,0.3228835605410277
UGC03580,4.380978900639674,4.380978900639674,1.5859906372385084,1.5859906372385084,Sa,2000000000.0,21.904894503198367,9.301029995663981,0.6415711615648846
UGC04278,3.4888018037188213,3.60551149428885,1.2902461531394427,1.3334083153269198,Sd,1500000000.0,23.258678691458808,9.176091259055681,0.542676298196707
UGC04305,0.7889863858076184,0.7823464647686064,0.2668599516488709,0.26461412201315504,Im,5000000000.0,1.5779727716152367,9.698970004336019,-0.10293049060507674
UGC04325,2.824065280390095,2.824065280390095,1.044409963430427,1.044409963430427,Sm,1500000000.0,18.827101869267302,9.176091259055681,0.4508747315389432
UGC04483,2.8800322301938137,2.8800322301938137,1.0651079410599453,1.0651079410599453,Im,1500000000.0,19.20021486795876,9.176091259055681,0.45939734793874537
UGC04499,2.5677886952040154,2.5677886952040154,0.9496324733982928,0.9496324733982928,Sdm,1500000000.0,17.118591301360105,9.176091259055681,0.40955928252663126
UGC05005,4.373809743159406,4.293888050327823,1.4793596918483214,1.4523276676355077,Im,5000000000.0,8.747619486318811,9.698970004336019,0.6408598876881066
UGC05253,2.4454905961529203,2.4808400726092543,inf,inf,Sab,0.0,inf,-inf,0.3883659971320516
UGC05414,2.085338339878712,2.085338339878712,0.7712102671337496,0.7712102671337496,Im,1500000000.0,13.902255599191413,9.176091259055681,0.3191765280011291
UGC05716,4.932760700462096,4.979223655387346,1.6684144437718316,1.6841296729923254,Sm,5000000000.0,9.865521400924193,9.698970004336019,0.6930900473515293
UGC05721,6.385841369562384,6.384720111305895,2.27383884723215,2.2734395951314728,Sd,2500000000.0,25.543365478249537,9.397940008672037,0.8052181260450504
UGC05750,2.9442780063622154,2.9442780063622154,0.9958472041496511,0.9958472041496511,Sdm,5000000000.0,5.888556012724431,9.698970004336019,0.468978814812449
UGC05764,5.59447257459959,5.588663606780455,1.8922261620907235,1.8902613869067295,Im,5000000000.0,11.18894514919918,9.698970004336019,0.7477591491775009
UGC05829,2.921582339811419,2.8878587057717815,0.9881708176018846,0.9767644264256544,Im,5000000000.0,5.843164679622838,9.698970004336019,0.4656181306674474
UGC05918,3.8566473628161377,3.826112516819781,1.3732559401562012,1.3623832430435379,Im,2500000000.0,15.426589451264551,9.397940008672037,0.5862099304438212
UGC05986,3.656666825727672,3.607052652119325,1.352326836158673,1.3339782740330954,Sm,1500000000.0,24.37777883818448,9.176091259055681,0.5630853917463838
UGC05999,3.1569798013303396,3.2704084492110908,1.0677896251366996,1.1061547528924462,Im,5000000000.0,6.313959602660679,9.698970004336019,0.4992718032419678
UGC06399,3.1513863807746287,3.1513863807746287,1.2010436008299843,1.2010436008299843,Sm,1000000000.0,31.513863807746286,9.0,0.498501653809047
UGC06446,4.278359808652043,4.277615129221491,1.5822444482158937,1.581969047139923,Sd,1500000000.0,28.522398724346957,9.176091259055681,0.6312773057944407
UGC06614,3.4123214354971134,3.4123214354971134,inf,inf,Sa,0.0,inf,-inf,0.5330499343030862
UGC06628,0.5871393943100699,0.5871393943100699,0.1985889657859539,0.1985889657859539,Sm,5000000000.0,1.1742787886201398,9.698970004336019,-0.23125877951415902
UGC06667,7.105892834887106,7.392588661478865,2.8510408213518255,2.9660695058418725,Scd,500000000.0,142.1178566977421,8.698970004336019,0.8516186535377549
UGC06786,4.023213454719858,3.9828893900660995,1.4878849459656798,1.472972098453677,S0,1500000000.0,26.821423031465724,9.176091259055681,0.6045730750141481
UGC06787,4.271836900680583,4.339443823890573,1.5798321137265892,1.6048348446080916,Sab,1500000000.0,28.478912671203886,9.176091259055681,0.6306146629140821
UGC06818,3.007438060026562,3.007438060026562,1.1122258030302123,1.1122258030302123,Sm,1500000000.0,20.04958706684375,9.176091259055681,0.4781966915511395
UGC06917,2.4733535351641476,2.457114408064227,0.9426344716476586,0.9364454813653467,Sm,1000000000.0,24.733535351641475,9.0,0.3932861977997218
UGC06923,1.754895875762864,1.754895875762864,0.6688188013269998,0.6688188013269998,Im,1000000000.0,17.54895875762864,9.0,0.2442513533242684
UGC06930,2.542757245708197,2.4813452262110305,0.905412438199752,0.8835451496878225,Sd,2500000000.0,10.171028982832787,9.397940008672037,0.4053049005289444
UGC06973,0.878727034189086,0.8779791921111725,0.32497523198754796,0.32469866128549335,Sab,1500000000.0,5.858180227927241,9.176091259055681,-0.05614601224840649
UGC06983,3.371195902400519,3.406670379642719,1.3525980982051475,1.3668312403427656,Scd,500000000.0,67.42391804801038,8.698970004336019,0.5277839903908863
UGC07089,2.125390770537451,2.0870508060804918,0.7860226576015136,0.7718435799596236,Sdm,1500000000.0,14.169271803583008,9.176091259055681,0.32743879033264
UGC07125,1.8641645749176026,1.8985587037721454,0.689414677853712,0.7021344868144428,Sm,1500000000.0,12.427763832784018,9.176091259055681,0.2704842507344305
UGC07151,1.85022936684051,1.8548918743792189,0.6842610894224344,0.6859854013077901,Scd,1500000000.0,12.3348624456034,9.176091259055681,0.2672255697968395
UGC07232,2.569128602270626,2.569128602270626,0.9148026205634536,0.9148026205634536,Im,2500000000.0,10.276514409082504,9.397940008672037,0.4097858441879511
UGC07261,2.6974938667417283,2.6974938667417283,0.9123770648019114,0.9123770648019114,Sdm,5000000000.0,5.394987733483457,9.698970004336019,0.43096046590610615
UGC07323,1.5608682845223407,1.5608682845223407,0.5772481249911153,0.5772481249911153,Sdm,1500000000.0,10.405788563482272,9.176091259055681,0.1933662562215202
UGC07399,6.444294272632707,6.527310452746247,2.383261177548111,2.413962636979155,Sdm,1500000000.0,42.96196181755138,9.176091259055681,0.809175363848757
UGC07524,2.658674926683884,2.7897263538041224,0.9832444746347184,1.0317105696490827,Sm,1500000000.0,17.724499511225893,9.176091259055681,0.42466523985963595
UGC07559,2.0828955795132074,2.0828955795132074,0.7703068732633169,0.7703068732633169,Im,1500000000.0,13.88597053008805,9.176091259055681,0.31866749828287544
UGC07577,1.2289445343713026,1.2289445343713026,0.4544944216103457,0.4544944216103457,Im,1500000000.0,8.19296356247535,9.176091259055681,0.08953228243075151
UGC07603,5.146513551513178,5.1543460793386915,1.9033094126590455,1.9062060773206653,Sd,1500000000.0,34.31009034342119,9.176091259055681,0.7115131206734296
UGC07608,6.044797276566266,6.001826291640395,2.04454010610144,2.0300059707020264,Im,5000000000.0,12.089594553132532,9.698970004336019,0.781381740573974
UGC07690,2.0283684421650214,2.0283684421650214,0.7222514142424825,0.7222514142424825,Im,2500000000.0,8.113473768660086,9.397940008672037,0.3071468450723415
UGC07866,2.1941415270887523,2.1941415270887523,0.7812790753619325,0.7812790753619325,Im,2500000000.0,8.77656610835501,9.397940008672037,0.34126463711806554
UGC08286,4.763541203304361,4.733637735762986,1.7616766611199646,1.7506176110129446,Scd,1500000000.0,31.756941355362407,9.176091259055681,0.6779299260961377
UGC08490,6.021308065920568,6.0258425743020325,2.2268303004889316,2.2285072750850023,Sm,1500000000.0,40.14205377280379,9.176091259055681,0.7796908474208581
UGC08550,4.556818142389723,4.773932642702127,1.6852253035719338,1.7655196752729205,Sd,1500000000.0,30.378787615931486,9.176091259055681,0.6586616967122245
UGC08699,2.888015960499363,2.940963523209632,0.9844810395893852,1.0025300643502169,Sab,4500000000.0,6.4178132455541395,9.653212513775344,0.4605995890145157
UGC08837,1.928067001341494,1.928067001341494,0.6865365727080579,0.6865365727080579,Im,2500000000.0,7.712268005365976,9.397940008672037,0.28512212179051233
UGC09037,1.4682394716655782,1.450120720959914,0.5228034576032047,0.5163518223630582,Scd,2500000000.0,5.872957886662313,9.397940008672037,0.16679689532195086
UGC09133,3.141452442297396,3.236719875313883,inf,inf,Sab,0.0,inf,-inf,0.49713048942068305
UGC09992,1.4249357541223249,1.4249357541223249,0.48195798215021524,0.48195798215021524,Im,5000000000.0,2.8498715082446497,9.698970004336019,0.15379528381179333
UGC10310,2.3075310739566466,2.3075310739566466,0.8106178645138741,0.8106178645138741,Sm,3000000000.0,7.691770246522156,9.477121254719663,0.36314755808669785
UGC11455,1.523602996448417,1.4937632573774928,inf,inf,Scd,0.0,inf,-inf,0.18287181811055023
UGC11557,0.8603669458108361,0.8603669458108361,0.291003096744625,0.291003096744625,Sdm,5000000000.0,1.7207338916216721,9.698970004336019,-0.06531628299832365
UGC11820,3.752706345540006,3.8846553375001314,1.2692830344570782,1.3139123236919652,Sm,5000000000.0,7.505412691080012,9.698970004336019,0.5743445815990058
UGC11914,1.289060064557888,1.289060064557888,inf,inf,Sab,0.0,inf,-inf,0.1102731540471962
UGC12506,2.5649448413546727,2.5553447436687016,inf,inf,Scd,0.0,inf,-inf,0.4090780301289782
UGC12632,3.343531542167607,3.4347560590127433,1.2365215775753555,1.2702586851995201,Sm,1500000000.0,22.29021028111738,9.176091259055681,0.5242054245972989
UGC12732,4.175432228879734,4.158693579527565,1.4667971300569733,1.4609169716721784,Sm,3000000000.0,13.918107429599113,9.477121254719663,0.6207014390773958
UGCA281,2.2114809116811838,2.2114809116811838,0.8178609446935265,0.8178609446935265,BCD,1500000000.0,14.743206077874559,9.176091259055681,0.34468319512442985
UGCA442,5.982201941230863,6.126493295111651,2.077610727362515,2.1277229214397857,Sm,3500000000.0,17.092005546373894,9.544068044350276,0.7768610694244765
UGCA444,5.02567067524575,5.087773822041481,1.8193802840776252,1.841862704466981,Im,2000000000.0,25.12835337622875,9.301029995663981,0.7011940265149146
