galaxy,M_bary_Msun,median_percent_close_outer,mean_percent_close_outer,n_outer_points
UGC06399,4232116606.1396937,88.33212989822158,87.74476118534501,4
UGC06446,3710995439.8169584,88.93258058045038,88.87398369889394,8
UGC06614,183153236000.28235,82.05259287645559,83.9932677377143,6
UGC06628,5667858403.842304,14.48178492493648,15.845664292305878,3
UGC06667,2143307690.2685926,77.46744244528472,77.47426517292773,4
UGC06786,86642734715.75055,79.3762371871695,80.69902623942113,22
UGC06787,114872169130.56317,82.1165727855173,79.84316238135503,35
UGC06818,2669346482.9189806,96.82003891948844,96.44742732196633,4
UGC06917,12126775918.896019,89.02573703490808,88.56145030829921,5
UGC06923,4368756223.018447,96.30811303377853,95.5204702849738,3
UGC06930,17417742090.630817,95.84099516965794,96.04938469431643,5
UGC06973,59626713366.65818,88.25887403461752,87.76983387508834,4
UGC06983,11689711152.244509,88.02981767554233,86.6358095376674,8
UGC07089,5893543634.704697,90.97139683668438,90.47355253135576,6
UGC07125,9145451322.294327,59.721560107438066,60.75003860144661,6
UGC07151,3950914359.252486,97.48443900998046,96.79130663721611,5
UGC07261,3286108727.220414,93.98376334600466,94.25327652489223,3
UGC07323,6129988323.6303215,97.92419998400067,98.5580521946082,5
UGC07399,2304538085.197812,63.444305058212144,62.7941473268578,5
UGC07524,6618472584.5703125,97.47639987473836,96.58203845720432,15
UGC07559,299960710.9392272,93.38898183502545,92.38749342473142,3
UGC07577,88046449.91462484,69.77786675832988,71.38654278411309,4
UGC07603,698063338.242263,73.54056354168789,73.65411368502843,6
UGC07608,940416684.6482961,76.43614680561865,76.09562788419369,4
UGC07690,1413750583.7214117,95.95463461881091,95.6330133933106,3
UGC07866,255122971.0121813,92.50130795444296,92.33738986546173,3
UGC08286,2700571486.2308893,81.99379850261377,82.7769447903675,8
UGC08490,2235473713.262101,87.76815808257045,87.9205570409748,15
UGC08550,907499353.0391718,90.37128728313468,91.32135050265688,5
UGC08699,61121881064.22238,94.20240746094072,89.591514395271,20
UGC08837,1164869214.050239,86.22010076963198,86.5467405933224,4
UGC09037,97505504164.23146,97.84571485697147,96.44532755300371,11
UGC09133,352847410281.38873,80.00201766356349,84.74073031530375,34
UGC10310,3979873518.9342527,96.30367808851389,96.9668781358677,3
UGC11455,491088034999.5664,88.72646089901926,88.88010766506706,18
UGC11557,18122200039.434845,61.62782339517173,62.48728259412034,6
UGC11820,5667197519.937415,96.14557206179676,96.69245658965818,5
UGC11914,151880651007.73264,91.99171587315232,92.35891820382189,32
UGC12506,236817500503.7937,75.59753517926583,76.09048893545393,15
UGC12632,4216199085.363947,95.65545392076871,95.63088542440957,7
UGC12732,8600794746.279785,94.28886463781426,94.6620639272782,8
UGCA281,94857940.85037121,73.04439993471632,73.59364645852783,3
UGCA442,658111233.5601845,95.04654650612446,94.08131816626214,4
UGCA444,148254830.53292957,75.18437850040434,75.07009592660808,18
