name,hubble_type,type_group,B_T,R_d_kpc,Sigma0,shear,compactness,v2_ape,per_galaxy_ape,delta_ape,v2_params,per_galaxy_params
NGC2903,Sbc,intermediate,0.3,2.33,596.76,1.3378731664714505,3.6236160000000006,52.213844299316406,32.85041809082031,19.363426208496094,"{'eta': 0.254246514931629, 'ring_amp': 0.637540307205531, 'M_max': 1.6459009376907017, 'lambda_ring': 10.570581226624839, 'kappa': np.float64(0.42562213327057985), 'R0': 4.66, 'R1': 65.24000000000001, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.044637319916398056, 'ring_amp': 1.2077815097421651e-08, 'M_max': 1.3826253278126097, 'bulge_gate_power': 39.163957546882706, 'lambda_hat': 21.58345573563682}"
NGC2915,BCD,late,0.08,0.55,156.965,1.191728947206561,0.13717458333333335,47.04871368408203,30.66606903076172,16.382644653320312,"{'eta': 0.7249651954734984, 'ring_amp': 1.5875868604998093, 'M_max': 2.5063049503261823, 'lambda_ring': 16.348192204474497, 'kappa': np.float64(0.514633046732531), 'R0': 1.1, 'R1': 15.400000000000002, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.999999501282263, 'ring_amp': 0.35614463181958017, 'M_max': 4.9999998767346545, 'bulge_gate_power': 16.99698869001688, 'lambda_hat': 49.99993286288323}"
NGC2955,Sb,early,0.4,8.76,25.34,1.2508680802830774,22.243391999999997,16.416845321655273,16.61916732788086,-0.20232200622558594,"{'eta': 0.11294026543197477, 'ring_amp': 0.48096824392132814, 'M_max': 1.2639683252696639, 'lambda_ring': 9.677227257008882, 'kappa': np.float64(0.3600469337116545), 'R0': 17.52, 'R1': 245.28, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000000006908406, 'ring_amp': 7.761148012367783e-06, 'M_max': 1.191906929628305, 'bulge_gate_power': 23.438416579219673, 'lambda_hat': 13.54158529840575}"
NGC2976,Sc,intermediate,0.15,1.01,751.275,1.3312549780947018,0.2648788966666667,24.962142944335938,11.570036888122559,13.392106056213379,"{'eta': 0.5415382497325466, 'ring_amp': 1.11354035810563, 'M_max': 2.173177320017689, 'lambda_ring': 13.444408517386355, 'kappa': np.float64(0.4890605698652034), 'R0': 2.02, 'R1': 28.28, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000029560968866, 'ring_amp': 1.0403998583077337e-05, 'M_max': 4.882365817465795, 'bulge_gate_power': 37.13970757898025, 'lambda_hat': 6.020434425679552}"
NGC2998,Sc,intermediate,0.15,6.2,387.08,1.0290085324250275,9.464506666666669,27.86223030090332,10.462685585021973,17.399544715881348,"{'eta': 0.5395617930398741, 'ring_amp': 1.3765563321465406, 'M_max': 2.1684225634912635, 'lambda_ring': 15.862606183770831, 'kappa': np.float64(0.5314995557547639), 'R0': 12.4, 'R1': 173.6, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.012318277853985718, 'ring_amp': 0.4431251538630021, 'M_max': 1.301956390491417, 'bulge_gate_power': 53.992154712039834, 'lambda_hat': 20.655833384814255}"
NGC3109,Sm,late,0.03,1.56,70.435,0.7091073140341035,0.23552307999999997,30.268333435058594,8.992546081542969,21.275787353515625,"{'eta': 0.8534248286435849, 'ring_amp': 2.5225555101191612, 'M_max': 2.7426680936450487, 'lambda_ring': 22.40972993857675, 'kappa': np.float64(0.6084007131190774), 'R0': 3.12, 'R1': 43.68, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.9995794845204071, 'ring_amp': 11.444905429832241, 'M_max': 4.9999999653776905, 'bulge_gate_power': 36.60795698890615, 'lambda_hat': 7.241914106636109}"
NGC3198,Sc,intermediate,0.15,3.14,801.31,1.2303970314585153,2.5799286666666665,23.561199188232422,11.826128005981445,11.735071182250977,"{'eta': 0.5416460085087833, 'ring_amp': 1.1944561916110619, 'M_max': 2.1734365550145855, 'lambda_ring': 14.188357551166163, 'kappa': np.float64(0.5063954543606624), 'R0': 6.28, 'R1': 87.92, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.06268866482853769, 'ring_amp': 4.944346304305732e-08, 'M_max': 2.3537320034415625, 'bulge_gate_power': 50.308145187845476, 'lambda_hat': 18.35615000279367}"
NGC3521,Sbc,intermediate,0.3,2.4,1056.33,1.4136417803545398,3.8720000000000003,36.19831848144531,24.625577926635742,11.57274055480957,"{'eta': 0.2546927515650075, 'ring_amp': 0.6067652769055226, 'M_max': 1.647632085666302, 'lambda_ring': 10.182430505537752, 'kappa': np.float64(0.42208985593521964), 'R0': 4.8, 'R1': 67.2, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000000515930028, 'ring_amp': 6.580825914682857e-07, 'M_max': 1.3685327524983493, 'bulge_gate_power': 33.447568713028545, 'lambda_hat': 6.859602998351065}"
NGC3726,Sc,intermediate,0.15,3.4,894.955,0.758508273400341,3.236913333333333,54.45198059082031,17.335527420043945,37.11645317077637,"{'eta': 0.5418082928328872, 'ring_amp': 1.5997023958933474, 'M_max': 2.173826961974693, 'lambda_ring': 17.914235529034386, 'kappa': np.float64(0.6044374521879732), 'R0': 6.8, 'R1': 95.2, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.029402070365420613, 'ring_amp': 9.609121876916406e-09, 'M_max': 1.2501683608285115, 'bulge_gate_power': 1.9988278155354162, 'lambda_hat': 22.566783862212535}"
NGC3741,Im,late,0.0,0.2,71.745,0.8600178079891536,0.0177504,29.124284744262695,15.08642292022705,14.037861824035645,"{'eta': 0.964401637094309, 'ring_amp': 2.624255455467455, 'M_max': 2.9515577840433065, 'lambda_ring': 22.39066288519066, 'kappa': np.float64(0.5931930520700555), 'R0': 0.4, 'R1': 5.6000000000000005, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.9397896865010684, 'ring_amp': 1.7052929257172795, 'M_max': 4.999999899596803, 'bulge_gate_power': 16.63772609014841, 'lambda_hat': 47.8885974305585}"
NGC3769,Sb,early,0.4,3.38,80.13,1.3220651087998228,1.7886960000000003,17.25559425354004,9.093713760375977,8.161880493164062,"{'eta': 0.13437177600437408, 'ring_amp': 0.4577764645012803, 'M_max': 1.3943413088250607, 'lambda_ring': 9.317240938644643, 'kappa': np.float64(0.37366695107731973), 'R0': 6.76, 'R1': 94.64, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.11831863292049061, 'ring_amp': 1.2792182120319297e-07, 'M_max': 3.012598181764082, 'bulge_gate_power': 16.62299613123587, 'lambda_hat': 7.748805917960313}"
NGC3877,Sc,intermediate,0.15,2.53,1705.295,0.42269497393081845,2.4659909999999994,73.09579467773438,27.282901763916016,45.81289291381836,"{'eta': 0.5423675869075614, 'ring_amp': 1.7278605661718491, 'M_max': 2.175172454219277, 'lambda_ring': 19.09253578028594, 'kappa': np.float64(0.6906639318407962), 'R0': 5.06, 'R1': 70.83999999999999, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000021826938071, 'ring_amp': 5.2392629919214636e-08, 'M_max': 1.6725166869772525, 'bulge_gate_power': 39.695677308334815, 'lambda_hat': 22.739024526590008}"
NGC3893,Sc,intermediate,0.15,2.38,1027.545,1.0661606491133833,2.9857893333333334,47.425880432128906,9.35173225402832,38.074148178100586,"{'eta': 0.541976943895112, 'ring_amp': 1.3420747839998555, 'M_max': 2.1742326853794984, 'lambda_ring': 15.545579054275388, 'kappa': np.float64(0.5398819421270888), 'R0': 4.76, 'R1': 66.64, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.06374006261016657, 'ring_amp': 3.625129615849636e-07, 'M_max': 0.7202635694333432, 'bulge_gate_power': 21.657792155797903, 'lambda_hat': 8.523690172477071}"
NGC3917,Scd,late,0.08,2.63,613.48,0.5596554865639085,1.6695239999999996,33.35512161254883,6.761587142944336,26.593534469604492,"{'eta': 0.7389167202638569, 'ring_amp': 2.1935067567082727, 'M_max': 2.53498923810699, 'lambda_ring': 21.207474080165746, 'kappa': np.float64(0.7005205112754086), 'R0': 5.26, 'R1': 73.64, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.03805981018447573, 'ring_amp': 2.5712606654175905, 'M_max': 1.6565321472819, 'bulge_gate_power': 34.3687162928068, 'lambda_hat': 20.15484116450012}"
NGC3949,Sbc,intermediate,0.3,3.59,92.855,1.3986247349224459,3.417799666666666,23.69313621520996,19.342864990234375,4.350271224975586,"{'eta': 0.24343603560237578, 'ring_amp': 0.6125861193277605, 'M_max': 1.603962338287926, 'lambda_ring': 10.255846003800489, 'kappa': np.float64(0.39659686092869056), 'R0': 7.18, 'R1': 100.52, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000050896709575, 'ring_amp': 8.359776704961229e-08, 'M_max': 1.9460718182964505, 'bulge_gate_power': 38.31353130210748, 'lambda_hat': 10.287028695079858}"
NGC3953,Sbc,intermediate,0.3,4.89,999.54,0.9527354292465582,8.178688000000001,22.310155868530273,10.447746276855469,11.862409591674805,"{'eta': 0.25466419728545997, 'ring_amp': 0.8317166686596104, 'M_max': 1.6475213110692923, 'lambda_ring': 13.01963469567853, 'kappa': np.float64(0.4783002607700351), 'R0': 9.78, 'R1': 136.92, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000000197062679, 'ring_amp': 2.317329844360182e-08, 'M_max': 0.6358525688030443, 'bulge_gate_power': 32.032139916921764, 'lambda_hat': 12.110851763998232}"
NGC3972,Sbc,intermediate,0.3,2.18,793.965,0.555913092286797,1.304802666666667,9.080957412719727,6.687363624572754,2.3935937881469727,"{'eta': 0.2545163228767065, 'ring_amp': 0.9763171510008608, 'M_max': 1.6469476412622697, 'lambda_ring': 14.843411340027822, 'kappa': np.float64(0.536273100926487), 'R0': 4.36, 'R1': 61.040000000000006, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.20994855211553748, 'ring_amp': 11.969827328198505, 'M_max': 3.7803436957243104, 'bulge_gate_power': 25.723960566196002, 'lambda_hat': 5.000002822076064}"
NGC3992,Sbc,intermediate,0.3,4.96,1628.545,0.8216167145589612,12.232021333333336,19.683801651000977,9.518623352050781,10.165178298950195,"{'eta': 0.25485078325542376, 'ring_amp': 0.8944049237597685, 'M_max': 1.6482451600319665, 'lambda_ring': 13.81029164007839, 'kappa': np.float64(0.5023995241877866), 'R0': 9.92, 'R1': 138.88, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.9925207285865327, 'ring_amp': 7.728375124782731, 'M_max': 0.5296071675724436, 'bulge_gate_power': 30.97869209802957, 'lambda_hat': 18.848255282469076}"
NGC4010,Sd,late,0.06,2.81,1305.57,0.9130215508286226,1.558707,38.627262115478516,9.499314308166504,29.12794780731201,"{'eta': 0.8059975615769712, 'ring_amp': 2.0587356626085036, 'M_max': 2.6582644476923227, 'lambda_ring': 19.652074647965293, 'kappa': np.float64(0.6363495580218168), 'R0': 5.62, 'R1': 78.68, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.18318822792201855, 'ring_amp': 5.685047832185977e-07, 'M_max': 0.5397235294729672, 'bulge_gate_power': 22.181063126478058, 'lambda_hat': 7.16263555262619}"
NGC4013,Sb,early,0.4,3.53,5102.7,1.0064150260606501,4.613003999999999,15.829535484313965,8.555434226989746,7.274101257324219,"{'eta': 0.14224044950840303, 'ring_amp': 0.5709133795847007, 'M_max': 1.4422083239791261, 'lambda_ring': 11.073369297504476, 'kappa': np.float64(0.43260396525809724), 'R0': 7.06, 'R1': 98.83999999999999, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.03918850979424332, 'ring_amp': 0.0015165175409720985, 'M_max': 4.914186402978453, 'bulge_gate_power': 58.513127242264076, 'lambda_hat': 14.669947384640686}"
NGC4051,Sbc,intermediate,0.3,4.65,660.39,1.098104395800981,4.017755,29.584627151489258,21.05459976196289,8.530027389526367,"{'eta': 0.2543555690109316, 'ring_amp': 0.7548041656110788, 'M_max': 1.6463240063822753, 'lambda_ring': 12.04957412293907, 'kappa': np.float64(0.45440359618376824), 'R0': 9.3, 'R1': 130.20000000000002, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000000002080305, 'ring_amp': 5.225880653599939e-07, 'M_max': 3.4794490500692143, 'bulge_gate_power': 2.8695853874473918, 'lambda_hat': 5.186481378479707}"
NGC4068,Im,late,0.0,0.59,130.555,0.5524755520891931,0.034526996666666664,76.689208984375,17.33135223388672,59.35785675048828,"{'eta': 1.0013619263981284, 'ring_amp': 2.92260498755582, 'M_max': 3.0176168539062767, 'lambda_ring': 24.462534635804307, 'kappa': np.float64(0.7049386619918694), 'R0': 1.18, 'R1': 16.52, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.999999301132402, 'ring_amp': 0.2182495553120981, 'M_max': 3.601436319866917, 'bulge_gate_power': 35.25289737662737, 'lambda_hat': 49.999902691431544}"
NGC4085,Sc,intermediate,0.15,1.65,2510.73,0.8428052065780859,1.01728,87.50883483886719,39.21160888671875,48.29722595214844,"{'eta': 0.5425190189853294, 'ring_amp': 1.5389710711307991, 'M_max': 2.1755367539596895, 'lambda_ring': 17.355865078901996, 'kappa': np.float64(0.5980838510081131), 'R0': 3.3, 'R1': 46.199999999999996, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000023458126301, 'ring_amp': 2.5191913072463374e-06, 'M_max': 1.8393435741466386, 'bulge_gate_power': 39.00811296235078, 'lambda_hat': 7.884029396925525}"
NGC4088,Sbc,intermediate,0.3,2.58,1994.345,0.5820029153193043,2.8486640000000003,75.18893432617188,30.729745864868164,44.45918846130371,"{'eta': 0.25489615988162834, 'ring_amp': 0.9712623987569501, 'M_max': 1.6484211959033355, 'lambda_ring': 14.779658170355397, 'kappa': np.float64(0.5425193156728215), 'R0': 5.16, 'R1': 72.24000000000001, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.01000000000056545, 'ring_amp': 1.5359575820116367e-07, 'M_max': 0.5113854926651945, 'bulge_gate_power': 36.516870642837354, 'lambda_hat': 14.290396223416439}"
NGC4100,Sbc,intermediate,0.3,2.15,4485.39,0.45715037291216454,2.725125,27.7493896484375,3.636977195739746,24.112412452697754,"{'eta': 0.2549861313921778, 'ring_amp': 0.9903976386940463, 'M_max': 1.6487702349259057, 'lambda_ring': 15.021001789105831, 'kappa': np.float64(0.5677296692873053), 'R0': 4.3, 'R1': 60.199999999999996, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.05924623505269625, 'ring_amp': 8.512708966100493e-06, 'M_max': 0.7743844733764789, 'bulge_gate_power': 38.45070435603251, 'lambda_hat': 5.214343434176102}"
NGC4138,S0,early,0.7,1.51,1976.06,1.2944965109320856,1.9139249999999997,8.103425025939941,6.240718364715576,1.8627066612243652,"{'eta': 0.018256828620160943, 'ring_amp': 0.25740145318261215, 'M_max': 1.214773844092481, 'lambda_ring': 7.418599309568613, 'kappa': np.float64(0.325421461688732), 'R0': 3.02, 'R1': 42.28, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.0622563150965203, 'ring_amp': 14.881704928392118, 'M_max': 2.7950227721998138, 'bulge_gate_power': 31.549654469170775, 'lambda_hat': 48.534343383467814}"
NGC4157,Sb,early,0.4,2.32,11906.935,0.666140608816816,3.124343999999999,42.634857177734375,17.29313850402832,25.341718673706055,"{'eta': 0.14225300285369874, 'ring_amp': 0.6753211297158188, 'M_max': 1.4422846889686245, 'lambda_ring': 12.694002233755336, 'kappa': np.float64(0.4750899680710078), 'R0': 4.64, 'R1': 64.96, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.020749099324476716, 'ring_amp': 3.4661866686637657e-09, 'M_max': 0.82667273471916, 'bulge_gate_power': 39.00784285277943, 'lambda_hat': 5.935307375281179}"
NGC4183,Scd,late,0.08,2.79,549.29,0.6271423079253524,1.229925,19.573898315429688,6.474160671234131,13.099737644195557,"{'eta': 0.7385284273567708, 'ring_amp': 2.160704954086646, 'M_max': 2.534190909203342, 'lambda_ring': 20.94441421702761, 'kappa': np.float64(0.6800613895070995), 'R0': 5.58, 'R1': 78.12, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.08282919111346201, 'ring_amp': 1.9129907569471534, 'M_max': 2.843120877369757, 'bulge_gate_power': 51.55291971332983, 'lambda_hat': 11.788634663810246}"
NGC4214,Im,late,0.0,0.51,654.335,0.7355493952968803,0.11043811999999999,29.917476654052734,6.746250629425049,23.171226024627686,"{'eta': 1.0277697344956422, 'ring_amp': 2.7773375294364406, 'M_max': 3.0648154898720756, 'lambda_ring': 23.453732843308618, 'kappa': np.float64(0.7205999387010701), 'R0': 1.02, 'R1': 14.280000000000001, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.9999972036262652, 'ring_amp': 0.4378366685819522, 'M_max': 4.865152187765429, 'bulge_gate_power': 20.949203839405254, 'lambda_hat': 49.99987316054925}"
NGC4217,Sb,early,0.4,2.94,2186.755,1.29043485181157,3.575138,51.94429397583008,38.62028121948242,13.324012756347656,"{'eta': 0.14219573901005603, 'ring_amp': 0.46783341678031676, 'M_max': 1.4419363393681461, 'lambda_ring': 9.473346477565283, 'kappa': np.float64(0.40239050665804704), 'R0': 5.88, 'R1': 82.32, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.016609128963141734, 'ring_amp': 10.265515086805088, 'M_max': 1.1697137445937988, 'bulge_gate_power': 33.122472202555116, 'lambda_hat': 19.78955632609514}"
NGC4389,Sbc,intermediate,0.3,2.79,161.36,1.0157464555695033,1.1253000000000002,107.29711151123047,99.3134765625,7.983634948730469,"{'eta': 0.2496925414430179, 'ring_amp': 0.7987080586945803, 'M_max': 1.6282340735292848, 'lambda_ring': 12.60331290378722, 'kappa': np.float64(0.44431870753272606), 'R0': 5.58, 'R1': 78.12, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000000310119514, 'ring_amp': 4.937967615227615e-07, 'M_max': 0.5750411371652515, 'bulge_gate_power': 36.06043060673551, 'lambda_hat': 16.707232068028965}"
NGC4559,Scd,late,0.08,2.1,801.31,0.8607420054913026,1.0763200000000002,53.2955207824707,7.6715569496154785,45.623963832855225,"{'eta': 0.7396297221390299, 'ring_amp': 1.9714763567467335, 'M_max': 2.5364551675507636, 'lambda_ring': 19.426861980881924, 'kappa': np.float64(0.6274908608744335), 'R0': 4.2, 'R1': 58.800000000000004, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.08784836634383036, 'ring_amp': 5.997864870894413e-07, 'M_max': 1.019381643728207, 'bulge_gate_power': 47.91892343954896, 'lambda_hat': 26.111483946311605}"
NGC5005,Sbc,intermediate,0.3,9.45,48.285,1.4472348526882328,22.120874999999998,22.879600524902344,22.344972610473633,0.5346279144287109,"{'eta': 0.22818637884142626, 'ring_amp': 0.5942447407759239, 'M_max': 1.5448022190694677, 'lambda_ring': 10.024514978575642, 'kappa': np.float64(0.38164725544574024), 'R0': 18.9, 'R1': 264.59999999999997, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000003677622986, 'ring_amp': 0.09434100544845345, 'M_max': 3.9484205714332434, 'bulge_gate_power': 59.90891202586982, 'lambda_hat': 5.0000221054879725}"
NGC5033,Sc,intermediate,0.15,5.16,307.47,1.3607924023330549,8.7075,22.470069885253906,9.32780933380127,13.142260551452637,"{'eta': 0.5382835318852001, 'ring_amp': 1.091752142087809, 'M_max': 2.1653474540845186, 'lambda_ring': 13.24408527344232, 'kappa': np.float64(0.47205205607637624), 'R0': 10.32, 'R1': 144.48000000000002, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.033892603451108665, 'ring_amp': 14.868520698707986, 'M_max': 1.420992258957566, 'bulge_gate_power': 15.475771628736464, 'lambda_hat': 8.269223500070199}"
NGC5055,Sbc,intermediate,0.3,3.2,1674.17,1.0822644810231834,4.526506666666666,43.7613525390625,21.403766632080078,22.357585906982422,"{'eta': 0.2548578099504929, 'ring_amp': 0.7632314966794234, 'M_max': 1.6482724196696434, 'lambda_ring': 12.155864014423488, 'kappa': np.float64(0.4641159289710364), 'R0': 6.4, 'R1': 89.60000000000001, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.013602765517067622, 'ring_amp': 2.3833442560718797e-07, 'M_max': 1.3496270164598136, 'bulge_gate_power': 18.339384062061164, 'lambda_hat': 29.340907206247202}"
NGC5371,Sbc,intermediate,0.3,7.44,697.91,0.9613698014112098,14.523871999999999,40.998172760009766,22.52911376953125,18.469058990478516,"{'eta': 0.25440849083777106, 'ring_amp': 0.8272638821151865, 'M_max': 1.6465293134022403, 'lambda_ring': 12.963473831132948, 'kappa': np.float64(0.4734123968086901), 'R0': 14.88, 'R1': 208.32000000000002, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000001063955702, 'ring_amp': 9.629092397698478e-08, 'M_max': 0.5000000447727986, 'bulge_gate_power': 33.73979280917106, 'lambda_hat': 23.031679428517748}"
NGC5585,Sd,late,0.06,1.53,148.525,0.8758783630321306,0.4344837899999999,26.304338455200195,9.329136848449707,16.97520160675049,"{'eta': 0.7877670470623392, 'ring_amp': 2.102255205458408, 'M_max': 2.62220242092099, 'lambda_ring': 19.988325316130954, 'kappa': np.float64(0.5881758262695582), 'R0': 3.06, 'R1': 42.84, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.8642154413086791, 'ring_amp': 2.8994469437112515e-07, 'M_max': 2.3456018274463157, 'bulge_gate_power': 48.740768564685915, 'lambda_hat': 5.697256852862467}"
NGC5907,Sc,intermediate,0.15,5.34,4323.145,0.9340286367547006,9.830050000000002,34.74261474609375,3.5110979080200195,31.23151683807373,"{'eta': 0.5426264463028976, 'ring_amp': 1.4628161552431231, 'M_max': 2.175795191567363, 'lambda_ring': 16.655688443034855, 'kappa': np.float64(0.5812727336860384), 'R0': 10.68, 'R1': 149.51999999999998, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.01599120504095921, 'ring_amp': 7.914212145915375e-06, 'M_max': 2.1335127761431214, 'bulge_gate_power': 26.356354292325694, 'lambda_hat': 5.581677163013476}"
NGC5985,Sb,early,0.4,7.01,730.805,1.0373935303358786,21.73684166666666,20.184532165527344,5.032999038696289,15.151533126831055,"{'eta': 0.14193732576869392, 'ring_amp': 0.5592100066453344, 'M_max': 1.4403643500698282, 'lambda_ring': 10.891707767331237, 'kappa': np.float64(0.4200581087668419), 'R0': 14.02, 'R1': 196.28, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.7747863691965635, 'ring_amp': 11.75827668842598, 'M_max': 0.9057463154716784, 'bulge_gate_power': 29.777973532840758, 'lambda_hat': 19.101379136352158}"
NGC6015,Scd,late,0.08,2.3,963.385,1.0486584402856207,2.1126266666666664,24.45555305480957,5.065220832824707,19.390332221984863,"{'eta': 0.7399800303969428, 'ring_amp': 1.7563036466280022, 'M_max': 2.5371754001441866, 'lambda_ring': 17.701246339332517, 'kappa': np.float64(0.5841505979987278), 'R0': 4.6, 'R1': 64.39999999999999, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.10709286883510113, 'ring_amp': 4.594995745710404e-06, 'M_max': 2.0283225299360126, 'bulge_gate_power': 59.045065207148646, 'lambda_hat': 5.273927502678154}"
NGC6195,Sb,early,0.4,3.94,87.055,1.018158575500736,8.742072,39.07547378540039,21.611635208129883,17.463838577270508,"{'eta': 0.13520232995633458, 'ring_amp': 0.5664873061755421, 'M_max': 1.3993937663433964, 'lambda_ring': 11.004667114609639, 'kappa': np.float64(0.3962366598713082), 'R0': 7.88, 'R1': 110.32, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000001247839854, 'ring_amp': 0.032363702799364985, 'M_max': 4.794316137962851, 'bulge_gate_power': 35.889485394836825, 'lambda_hat': 14.164808162452784}"
NGC6503,Scd,late,0.08,2.16,199.435,1.4576708886164902,1.0541520000000002,20.28692054748535,5.484678268432617,14.802242279052734,"{'eta': 0.7296798760702413, 'ring_amp': 1.3276106837609578, 'M_max': 2.5159983176866465, 'lambda_ring': 14.263267230655888, 'kappa': np.float64(0.4775599063456751), 'R0': 4.32, 'R1': 60.480000000000004, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.1234049596311546, 'ring_amp': 0.18055890096789368, 'M_max': 3.4235337653784135, 'bulge_gate_power': 43.67418416140009, 'lambda_hat': 46.8690030197682}"
NGC6674,Sb,early,0.4,6.04,685.175,0.9775151743776291,17.049108,8.330998420715332,4.971883296966553,3.3591151237487793,"{'eta': 0.1419049365005858, 'ring_amp': 0.5817191081238665, 'M_max': 1.440167318437169, 'lambda_ring': 11.241097455124633, 'kappa': np.float64(0.42559211403477415), 'R0': 12.08, 'R1': 169.12, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.02133695044500988, 'ring_amp': 7.220603141502248e-08, 'M_max': 2.8622022525783883, 'bulge_gate_power': 34.34059695625671, 'lambda_hat': 23.84338415010342}"
NGC6789,BCD,late,0.08,0.31,159.88,0.693386589806996,0.03769765333333333,29.793540954589844,37.408931732177734,-7.615390777587891,"{'eta': 0.7253854435849387, 'ring_amp': 2.1189405775962236, 'M_max': 2.507168979021901, 'lambda_ring': 20.609477406073914, 'kappa': np.float64(0.6203993844302185), 'R0': 0.62, 'R1': 8.68, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.9999999674985434, 'ring_amp': 14.999999979505427, 'M_max': 4.769299262632561, 'bulge_gate_power': 28.715207010811625, 'lambda_hat': 49.99999941444721}"
NGC6946,Scd,late,0.08,2.44,1116.35,0.8394676657681722,2.6645613333333333,73.02938842773438,12.640979766845703,60.38840866088867,"{'eta': 0.7401986654129054, 'ring_amp': 1.9932367334590955, 'M_max': 2.5376249129975172, 'lambda_ring': 19.60137317423976, 'kappa': np.float64(0.6390369897427943), 'R0': 4.88, 'R1': 68.32, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.021050604810394273, 'ring_amp': 1.3314375404832767e-10, 'M_max': 2.9695061264791507, 'bulge_gate_power': 30.612156405068028, 'lambda_hat': 10.72992896880484}"
NGC7331,Sb,early,0.4,5.02,903.235,1.34945274521573,11.05219933333333,36.078697204589844,21.896190643310547,14.182506561279297,"{'eta': 0.1420243051029776, 'ring_amp': 0.4494036189474047, 'M_max': 1.4408934660777695, 'lambda_ring': 9.187276359791909, 'kappa': np.float64(0.3937946580234028), 'R0': 10.04, 'R1': 140.56, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000010949856291, 'ring_amp': 6.033493111693747e-08, 'M_max': 1.0278696771199816, 'bulge_gate_power': 32.494360943881375, 'lambda_hat': 12.38977953217772}"
NGC7793,Sd,late,0.06,1.21,534.32,0.9285906675263038,0.5427253333333333,48.57551193237305,13.822990417480469,34.75252151489258,"{'eta': 0.8038607612419468, 'ring_amp': 2.03993498238209, 'M_max': 2.654037614114763, 'lambda_ring': 19.506812522627627, 'kappa': np.float64(0.6153093928700737), 'R0': 2.42, 'R1': 33.879999999999995, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.4345695360488923, 'ring_amp': 0.00147412791841229, 'M_max': 0.586771743086517, 'bulge_gate_power': 28.485926649776946, 'lambda_hat': 14.256754678363546}"
