name,hubble_type,type_group,param_source,ape,rms,chi2_reduced,n_points,elapsed,params_used
NGC2683,Sb,early,class_early,10.93501469563161,34.45655315000832,30.749803525643262,11,0.017653942108154297,"{'eta': 0.027, 'ring_amp': 1.508, 'M_max': 2.74, 'bulge_gate_power': 32.645, 'lambda_hat': 17.236}"
NGC2841,Sb,early,class_early,17.053486869553723,56.22114014691885,77.26437509829861,48,0.03832817077636719,"{'eta': 0.027, 'ring_amp': 1.508, 'M_max': 2.74, 'bulge_gate_power': 32.645, 'lambda_hat': 17.236}"
NGC2903,Sbc,intermediate,class_intermediate,73.14863136553649,130.95231758115335,596.4229616753881,34,0.03000354766845703,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
NGC2915,BCD,late,class_late,52.70406403216904,33.70826754090881,23.5554722969853,30,0.027696847915649414,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
NGC2955,Sb,early,class_early,45.99991966351862,147.84473174941868,974.05048155187,24,0.026179790496826172,"{'eta': 0.027, 'ring_amp': 1.508, 'M_max': 2.74, 'bulge_gate_power': 32.645, 'lambda_hat': 17.236}"
NGC2976,Sc,intermediate,class_intermediate,32.77508728928616,23.62240236975853,41.39211085919506,27,0.026317596435546875,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
NGC2998,Sc,intermediate,class_intermediate,67.86529896338665,131.91773043276999,218.55104022100815,13,0.016695737838745117,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
NGC3109,Sm,late,class_late,38.341256947499815,23.923650932941236,76.66922113894849,25,0.02425837516784668,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
NGC3198,Sc,intermediate,class_intermediate,65.83684737313523,64.76862380649891,434.0392071873149,43,0.035872459411621094,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
NGC3521,Sbc,intermediate,class_intermediate,44.42892111614182,105.2207230190335,156.15602874146344,41,0.03356003761291504,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
NGC3726,Sc,intermediate,class_intermediate,36.86916019213934,62.95199171452732,157.62648269334053,12,0.015642166137695312,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
NGC3741,Im,late,class_late,48.318219265273584,22.873627369251885,97.80320453856311,21,0.02055501937866211,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
NGC3769,Sb,early,class_early,30.507894874133495,39.05271414313387,27.164744036914282,12,0.016058921813964844,"{'eta': 0.027, 'ring_amp': 1.508, 'M_max': 2.74, 'bulge_gate_power': 32.645, 'lambda_hat': 17.236}"
NGC3877,Sc,intermediate,class_intermediate,30.238018166494417,32.49976082353731,18.465382189397733,13,0.017257213592529297,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
NGC3893,Sc,intermediate,class_intermediate,28.108684475286445,62.865247139019665,92.83689467037331,10,0.014842748641967773,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
NGC3917,Scd,late,class_late,58.83176075245259,55.64353489180422,218.68254079276872,17,0.019400358200073242,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
NGC3949,Sbc,intermediate,class_intermediate,27.531212804332846,54.793162413264255,95.82087892058253,7,0.012413501739501953,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
NGC3953,Sbc,intermediate,class_intermediate,23.916861583184485,56.82525934310485,103.56160785621806,8,0.01438450813293457,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
NGC3972,Sbc,intermediate,class_intermediate,24.41763955141902,26.45243158747727,31.323802109261887,10,0.015298604965209961,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
NGC3992,Sbc,intermediate,class_intermediate,7.832285951732214,32.18873789359312,30.037792616578677,9,0.014467000961303711,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
NGC4010,Sd,late,class_late,67.40526254707325,59.54860970309068,121.42405532064012,12,0.016652345657348633,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
NGC4013,Sb,early,class_early,15.613934088511467,39.87830627264143,120.47324815024088,35,0.030144929885864258,"{'eta': 0.027, 'ring_amp': 1.508, 'M_max': 2.74, 'bulge_gate_power': 32.645, 'lambda_hat': 17.236}"
NGC4051,Sbc,intermediate,class_intermediate,14.763702714179562,23.747675240507533,15.369066471964677,7,0.01119542121887207,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
NGC4068,Im,late,class_late,60.2865963791559,9.143854307597685,8.954582334957072,6,0.011212825775146484,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
NGC4085,Sc,intermediate,class_intermediate,59.28808191669945,54.10121608322053,86.70251630263205,7,0.011547565460205078,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
NGC4088,Sbc,intermediate,class_intermediate,60.21953530802458,105.1951738363752,217.88618175087302,12,0.01591014862060547,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
